1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
339	-0.403520	14.702385	131.496410	0.007498	2.1
340	-0.593421	14.745755	131.336867	0.006661	2.4
341	-0.088553	14.789125	131.177711	0.003145	2.5
342	-0.332956	14.832495	131.018940	0.004651	2.0
343	-0.426707	14.875865	130.860553	0.004642	2.1
344	-0.511290	14.919235	130.702548	0.004231	2.1
345	-0.259731	14.962605	130.544925	0.004290	2.0
346	-0.573381	15.005975	130.387681	0.006163	2.0
347	-0.329455	15.049344	130.230816	0.004166	2.1
348	-0.191274	15.092714	130.074327	0.003447	2.5
349	-0.207499	15.136084	129.918214	0.004583	2.1
350	-0.315730	15.179454	129.762476	0.005296	2.1
351	-0.475558	15.222824	129.607110	0.003961	2.1
352	-0.211058	15.266194	129.452116	0.003615	2.1
353	-0.475335	15.309564	129.297492	0.005741	2.1
354	-0.596562	15.352934	129.143238	0.005456	2.1
355	-0.521011	15.396303	128.989350	0.005380	2.6
356	-0.164354	15.439673	128.835829	0.004538	2.6
357	-0.237388	15.483043	128.682674	0.002789	2.4
358	-0.449503	15.526413	128.529881	0.006628	2.0
359	-0.556439	15.569783	128.377452	0.004849	2.0
360	-0.420811	15.613153	128.225383	0.008117	2.1
361	-0.269366	15.656523	128.073674	0.004140	2.0
362	-0.188042	15.699892	127.922324	0.003200	2.3
363	-0.540628	15.743262	127.771331	0.004086	2.4
364	-0.061142	15.786632	127.620694	0.003287	2.1
365	-0.254916	15.830002	127.470412	0.004952	2.0
366	-0.387545	15.873372	127.320483	0.003768	2.0
367	-0.348912	15.916742	127.170907	0.002704	2.1
368	-0.585835	15.960112	127.021681	0.004494	2.1
369	-0.084964	16.003482	126.872806	0.004072	2.0
370	-0.407972	16.046851	126.724279	0.004361	2.7
371	-0.206852	16.090221	126.576099	0.003641	1.9
372	-0.438767	16.133591	126.428266	0.003923	2.1
373	-0.214175	16.176961	126.280777	0.003731	2.0
374	-0.095471	16.220331	126.133632	0.004725	2.0
375	-0.186270	16.263701	125.986830	0.002561	2.0
376	-0.128893	16.307071	125.840369	0.002549	2.0
377	-0.219516	16.350441	125.694248	0.006523	2.0
378	-0.146057	16.393810	125.548466	0.004671	2.4
379	-0.439608	16.437180	125.403022	0.004594	2.2
380	-0.448492	16.480550	125.257914	0.006197	2.0
381	-0.086596	16.523920	125.113142	0.003080	2.1
382	-0.758790	16.567290	124.968704	0.008685	2.1
383	-0.229901	16.610660	124.824599	0.002843	1.8
384	-0.606190	16.654030	124.680826	0.005116	2.1
385	-0.202800	16.697399	124.537384	0.002346	2.4
386	-0.699471	16.740769	124.394272	0.006646	2.4
387	-0.721713	16.784139	124.251488	0.010806	2.1
388	-0.409777	16.827509	124.109032	0.006064	2.0
389	-0.286802	16.870879	123.966902	0.003582	1.8
390	-0.183719	16.914249	123.825097	0.004480	2.0
391	-0.213669	16.957619	123.683616	0.003604	1.9
392	-0.384723	17.000989	123.542458	0.005249	2.0
393	-0.177944	17.044358	123.401622	0.003536	2.5
394	-0.213606	17.087728	123.261106	0.004102	2.3
395	-0.126349	17.131098	123.120911	0.003369	2.1
396	-0.218580	17.174468	122.981034	0.005454	2.1
397	-0.206625	17.217838	122.841474	0.004599	2.0
398	-0.231194	17.261208	122.702230	0.005686	2.1
399	-0.212773	17.304578	122.563302	0.004070	2.0
400	-0.452398	17.347947	122.424689	0.009182	2.1
401	-0.199256	17.391317	122.286388	0.002506	2.5
402	-0.320488	17.434687	122.148400	0.003446	2.0
403	-0.591969	17.478057	122.010722	0.006175	2.1
404	-0.163983	17.521427	121.873355	0.003996	2.0
405	-0.586963	17.564797	121.736296	0.004704	2.0
406	-0.670630	17.608167	121.599546	0.004490	2.1
407	-0.334420	17.651537	121.463102	0.004092	1.9
408	-0.194680	17.694906	121.326964	0.003715	2.5
409	-0.304354	17.738276	121.191131	0.003364	2.4
410	-0.223675	17.781646	121.055602	0.005903	2.2
411	-0.538251	17.825016	120.920376	0.005699	2.1
412	-0.225916	17.868386	120.785451	0.002988	2.2
413	-0.766308	17.911756	120.650827	0.012520	2.0
414	-0.211945	17.955126	120.516503	0.002849	2.0
415	-0.249808	17.998496	120.382478	0.007254	1.7
416	-0.446349	18.041865	120.248750	0.004294	2.6
417	-0.783764	18.085235	120.115320	0.006481	2.2
418	-0.242525	18.128605	119.982185	0.004648	2.1
419	-0.221733	18.171975	119.849345	0.005850	2.0
420	-0.243878	18.215345	119.716798	0.006261	2.0
421	-0.243905	18.258715	119.584545	0.002288	1.9
422	-0.270379	18.302085	119.452583	0.005886	2.1
423	-0.197240	18.345454	119.320913	0.004021	2.3
424	-0.302454	18.388824	119.189532	0.002494	2.4
425	-0.292115	18.432194	119.058440	0.004763	2.1
426	-0.243977	18.475564	118.927636	0.003688	2.1
427	-0.333883	18.518934	118.797120	0.004179	2.0
428	-0.275799	18.562304	118.666889	0.005925	2.0
429	-0.285900	18.605674	118.536944	0.003071	2.1
430	-0.175085	18.649044	118.407283	0.003278	2.0
431	-0.407980	18.692413	118.277906	0.004380	2.4
432	-0.286326	18.735783	118.148811	0.005649	2.2
433	-0.495886	18.779153	118.019997	0.005799	2.1
434	-0.256045	18.822523	117.891464	0.003427	2.0
435	-0.159398	18.865893	117.763210	0.005326	2.1
436	-0.444684	18.909263	117.635236	0.003469	2.1
437	-0.106794	18.952633	117.507539	0.004253	2.0
438	-0.234391	18.996002	117.380119	0.002883	2.1
439	-0.665023	19.039372	117.252975	0.008884	2.5
440	-0.238442	19.082742	117.126106	0.004839	2.0
441	-0.365987	19.126112	116.999512	0.005854	2.1
442	-0.654375	19.169482	116.873191	0.007223	2.1
443	-0.148188	19.212852	116.747142	0.002708	2.1
444	-0.409356	19.256222	116.621365	0.006037	2.1
445	-0.238519	19.299592	116.495859	0.006560	1.8
446	-0.128683	19.342961	116.370622	0.004350	2.4
447	-0.247074	19.386331	116.245655	0.005355	2.6
448	-0.295325	19.429701	116.120955	0.008425	2.0
449	-0.132774	19.473071	115.996523	0.002976	2.1
450	-0.310134	19.516441	115.872358	0.005264	2.1
451	-0.538394	19.559811	115.748457	0.004451	2.1
452	-0.295911	19.603181	115.624822	0.004380	2.0
453	-0.255473	19.646551	115.501450	0.003649	2.0
454	-0.578456	19.689920	115.378341	0.005583	2.8
455	-0.415615	19.733290	115.255495	0.004743	2.5
456	-0.056551	19.776660	115.132910	0.003435	2.5
457	-0.357836	19.820030	115.010585	0.003539	1.9
458	-0.134870	19.863400	114.888520	0.004025	2.0
459	-0.213634	19.906770	114.766714	0.004401	1.9
460	-0.536519	19.950140	114.645165	0.004655	2.1
461	-0.646377	19.993509	114.523874	0.003922	2.5
462	-0.262140	20.036879	114.402840	0.004423	2.0
463	-0.237053	20.080249	114.282061	0.004675	2.0
464	-0.447292	20.123619	114.161536	0.006112	2.0
465	-0.181837	20.166989	114.041266	0.003263	2.1
466	-0.083094	20.210359	113.921249	0.002510	2.1
467	-0.249447	20.253729	113.801484	0.004454	2.1
468	-0.210463	20.297099	113.681970	0.003361	1.8
469	-0.116474	20.340468	113.562708	0.003463	2.5
470	-0.300322	20.383838	113.443695	0.003778	2.2
471	-0.057930	20.427208	113.324932	0.003642	2.0
472	-0.148576	20.470578	113.206417	0.004914	2.0
473	-0.188207	20.513948	113.088149	0.003308	2.1
474	-0.380312	20.557318	112.970129	0.004911	2.0
475	-0.475825	20.600688	112.852354	0.003129	2.1
476	-0.226683	20.644058	112.734825	0.003579	2.1
477	-0.182160	20.687427	112.617540	0.002993	2.3
478	-0.112764	20.730797	112.500499	0.002578	2.0
479	-0.324244	20.774167	112.383702	0.007600	1.9
480	-0.345755	20.817537	112.267146	0.004192	2.1
481	-0.217372	20.860907	112.150832	0.003529	1.8
482	-0.201890	20.904277	112.034759	0.006294	2.0
483	-0.124209	20.947647	111.918925	0.004532	2.0
484	-0.180245	20.991016	111.803331	0.006940	2.4
485	-0.205674	21.034386	111.687976	0.003683	2.8
486	-0.263172	21.077756	111.572858	0.004867	2.3
487	-0.095260	21.121126	111.457978	0.002074	2.1
488	-0.125522	21.164496	111.343333	0.004681	2.0
489	-0.228629	21.207866	111.228925	0.004390	2.0
490	-0.074760	21.251236	111.114751	0.002085	2.0
491	-0.388054	21.294606	111.000811	0.004801	1.9
492	-0.442245	21.337975	110.887105	0.005396	2.5
493	-0.111546	21.381345	110.773632	0.002421	2.0
494	-0.469820	21.424715	110.660390	0.005482	2.1
495	-0.283226	21.468085	110.547380	0.003466	2.0
496	-0.715931	21.511455	110.434600	0.008636	2.1
497	-0.282071	21.554825	110.322051	0.006595	1.9
498	-0.096895	21.598195	110.209730	0.004337	2.0
499	-0.122725	21.641564	110.097638	0.002473	2.5
500	-0.282621	21.684934	109.985774	0.005639	2.3
501	-0.225355	21.728304	109.874136	0.002858	1.9
502	-0.337973	21.771674	109.762726	0.003541	2.0
503	-0.132583	21.815044	109.651541	0.001628	2.1
504	-0.132019	21.858414	109.540580	0.002581	2.1
505	-0.145643	21.901784	109.429845	0.002294	2.0
506	-0.438614	21.945154	109.319333	0.005314	2.0
507	-0.276852	21.988523	109.209044	0.003133	2.9
508	-0.486575	22.031893	109.098977	0.007021	2.4
509	-0.227453	22.075263	108.989132	0.003418	1.9
