1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
466	-0.183711	11.131083	2.169871	0.010128	2.4
467	-0.165510	10.642828	2.203353	0.007849	2.6
468	-0.170042	9.678752	2.272593	0.009781	2.4
469	-0.186649	10.678394	2.200879	0.014530	2.4
470	-0.171164	11.678199	2.133542	0.008001	2.4
471	-0.174507	10.725716	2.197596	0.009513	2.4
472	-0.186271	11.625493	2.136989	0.007732	2.4
473	-0.178277	11.059870	2.174691	0.005868	2.5
474	-0.192610	11.062911	2.174485	0.011216	2.5
475	-0.203780	10.098837	2.241894	0.007705	2.4
476	-0.183028	11.098806	2.172053	0.008651	2.4
477	-0.172975	12.098684	2.106437	0.007203	2.4
478	-0.191514	11.796924	2.125818	0.006802	2.4
479	-0.182419	11.310243	2.157839	0.010300	2.3
480	-0.201348	10.346172	2.224205	0.007583	2.8
481	-0.193212	9.382094	2.294783	0.007257	2.6
482	-0.188113	8.418778	2.369925	0.006699	2.5
483	-0.208312	9.418223	2.292057	0.010829	2.4
484	-0.174308	8.458805	2.366705	0.005617	2.4
485	-0.200786	9.223077	2.306857	0.009920	2.4
486	-0.196591	8.268290	2.382111	0.006597	2.6
487	-0.195541	7.304524	2.463221	0.011973	2.7
488	-0.181420	8.175252	2.389707	0.006938	2.6
489	-0.173304	7.215948	2.470954	0.009030	2.3
490	-0.189258	8.204637	2.387303	0.005436	2.3
491	-0.188198	9.204467	2.308278	0.006537	2.4
492	-0.177231	9.909416	2.255633	0.004018	2.4
493	-0.179962	9.935432	2.253736	0.011856	2.7
494	-0.177367	10.933871	2.183271	0.007214	2.5
495	-0.156397	10.532716	2.211047	0.008863	2.5
496	-0.167289	9.606239	2.277977	0.005838	2.7
497	-0.155121	10.555876	2.209424	0.012171	2.4
498	-0.175908	9.591820	2.279051	0.008665	2.3
499	-0.176785	10.588331	2.207154	0.008199	2.6
